date_sent,ticker,pattern,entry,stop,target,score,rr,price_5d,price_10d,price_20d,result_5d,result_10d,result_20d,checked
2026-04-08,ORA,Falling Wedge,113.47,109.19,122.79,36.5,1.81,112.28,111.7,113.87,OPEN (-1.1%),OPEN (-1.6%),OPEN (+0.3%),True
2026-04-08,GM,Falling Wedge,76.14,72.77,87.49,35.5,3.11,76.83,80.54,78.63,OPEN (+0.9%),OPEN (+5.8%),OPEN (+3.3%),True
2026-04-09,IEP,Falling Wedge,7.7,7.51,8.38,37.0,3.14,7.7,8.05,8.2,OPEN (-0.0%),OPEN (+4.5%),OPEN (+6.5%),True
2026-04-09,CNA,Falling Wedge,47.35,46.31,51.6,54.0,3.91,47.25,47.68,47.79,OPEN (-0.2%),OPEN (+0.7%),OPEN (+0.9%),True
2026-04-11,VKTX,Falling Wedge,34.11,31.41,40.36,39.0,2.14,35.27,34.46,30.0,OPEN (+3.4%),OPEN (+1.0%),LOSS (-12.1%),True
2026-04-11,AFG,Falling Wedge,130.18,126.53,138.7,33.5,1.92,129.79,129.24,131.64,OPEN (-0.3%),OPEN (-0.7%),OPEN (+1.1%),True
2026-04-11,NOVT,Falling Wedge,124.73,117.34,152.9,41.0,3.51,124.13,133.75,127.87,OPEN (-0.5%),OPEN (+7.2%),OPEN (+2.5%),True
2026-04-11,AD,Falling Wedge,49.44,47.71,64.27,35.0,8.59,48.92,48.79,49.19,OPEN (-1.1%),OPEN (-1.3%),OPEN (-0.5%),True
2026-04-12,AD,Falling Wedge,49.44,47.71,64.27,35.0,8.59,50.11,48.08,48.75,OPEN (+1.4%),OPEN (-2.8%),OPEN (-1.4%),True
2026-04-12,NOVT,Falling Wedge,124.73,117.34,152.9,42.0,3.51,128.85,132.77,125.71,OPEN (+3.3%),OPEN (+6.5%),OPEN (+0.8%),True
2026-04-12,AFG,Falling Wedge,130.18,126.53,138.7,33.5,1.92,131.46,129.06,130.73,OPEN (+1.0%),OPEN (-0.9%),OPEN (+0.4%),True
2026-04-12,VOYA,Falling Wedge,69.78,66.76,76.02,39.0,1.91,74.45,75.02,81.58,OPEN (+6.7%),OPEN (+7.5%),WIN (+16.9%),True
2026-04-12,MTCH,Falling Wedge,31.58,30.26,34.4,38.5,1.88,35.51,36.19,37.88,WIN (+12.4%),WIN (+14.6%),WIN (+19.9%),True
2026-04-13,VKTX,Falling Wedge,34.11,31.41,40.36,38.0,2.14,35.53,33.66,32.04,OPEN (+4.2%),OPEN (-1.3%),OPEN (-6.1%),True
2026-04-13,VNT,Falling Wedge,36.98,35.21,50.38,35.5,7.42,37.35,36.64,34.97,OPEN (+1.0%),OPEN (-0.9%),LOSS (-5.4%),True
2026-04-14,RDN,Double Bottom,34.43,33.54,36.97,44.5,2.34,35.25,35.6,35.22,OPEN (+2.4%),OPEN (+3.4%),OPEN (+2.3%),True
2026-04-14,ATAT,Falling Wedge,37.32,35.22,44.1,34.5,3.18,37.25,39.02,37.35,OPEN (-0.2%),OPEN (+4.6%),OPEN (+0.1%),True
2026-04-14,NZF,Falling Wedge,12.61,12.32,13.28,36.5,2.15,12.63,12.59,12.4,OPEN (+0.2%),OPEN (-0.2%),OPEN (-1.7%),True
2026-04-16,RZB,Falling Wedge,25.12,25.0,25.68,42.5,2.54,25.23,25.17,25.22,OPEN (+0.4%),OPEN (+0.2%),OPEN (+0.4%),True
2026-04-19,POST,Falling Wedge,101.19,97.99,115.96,39.0,3.99,103.65,102.05,101.07,OPEN (+2.4%),OPEN (+0.8%),OPEN (-0.1%),True
2026-04-19,GH,Falling Wedge,90.33,81.72,110.84,44.5,2.37,88.91,83.41,96.79,OPEN (-1.6%),OPEN (-7.7%),OPEN (+7.2%),True
2026-04-19,MIDD,Falling Wedge,143.68,136.35,170.04,41.5,3.35,141.93,138.84,157.91,OPEN (-1.2%),OPEN (-3.4%),OPEN (+9.9%),True
2026-04-20,RZB,Falling Wedge,25.11,24.97,25.64,37.5,2.68,25.17,25.19,25.24,OPEN (+0.3%),OPEN (+0.3%),OPEN (+0.5%),True
2026-04-20,BRC,Falling Wedge,84.08,80.89,97.06,43.5,3.89,80.14,82.2,77.32,LOSS (-4.7%),OPEN (-2.2%),LOSS (-8.0%),True
2026-04-20,NBIX,Falling Wedge,133.16,126.78,146.24,45.5,2.01,129.01,133.18,151.25,OPEN (-3.1%),OPEN (+0.0%),WIN (+13.6%),True
2026-04-21,PUK,Falling Wedge,30.45,29.51,32.63,44.0,2.12,30.55,30.17,31.41,OPEN (+0.3%),OPEN (-0.9%),OPEN (+3.1%),True
2026-04-22,RZB,Falling Wedge,25.09,24.98,25.65,40.5,2.75,25.17,25.22,25.24,OPEN (+0.3%),OPEN (+0.5%),OPEN (+0.6%),True
2026-04-22,BRC,Falling Wedge,84.13,80.98,92.88,45.0,2.56,80.14,80.77,74.72,LOSS (-4.7%),LOSS (-4.0%),LOSS (-11.2%),True
2026-04-22,MIDD,Falling Wedge,143.13,136.05,159.58,37.5,2.1,143.02,137.76,149.21,OPEN (-0.1%),OPEN (-3.8%),OPEN (+4.2%),True
2026-04-23,BANC,Falling Wedge,18.23,17.67,19.96,43.0,2.52,18.85,18.58,18.41,OPEN (+3.4%),OPEN (+1.9%),OPEN (+1.0%),True
2026-04-23,PUK,Falling Wedge,30.7,29.82,32.49,38.5,1.85,30.55,29.41,31.57,OPEN (-0.5%),LOSS (-4.2%),OPEN (+2.8%),True
2026-04-23,SFBS,Falling Wedge,78.35,75.23,87.77,45.0,2.84,79.78,78.46,75.49,OPEN (+1.8%),OPEN (+0.1%),OPEN (-3.6%),True
2026-04-25,VLYPO,Falling Wedge,24.98,24.82,25.51,35.0,2.87,25.0,25.04,25.09,OPEN (+0.1%),OPEN (+0.2%),OPEN (+0.4%),True
2026-04-25,RZB,Falling Wedge,25.07,24.99,25.65,40.5,2.85,25.19,25.22,25.26,OPEN (+0.5%),OPEN (+0.6%),OPEN (+0.8%),True
2026-04-26,CCI,Falling Wedge,86.26,82.94,93.02,34.0,1.97,89.26,90.44,88.04,OPEN (+3.5%),OPEN (+4.8%),OPEN (+2.1%),True
2026-04-26,CBSH,Falling Wedge,50.48,48.96,55.06,32.5,2.82,52.03,52.97,51.82,OPEN (+3.1%),OPEN (+4.9%),OPEN (+2.6%),True
2026-04-26,PUK,Falling Wedge,30.63,29.77,32.45,40.5,1.82,30.17,32.37,30.84,OPEN (-1.5%),OPEN (+5.7%),OPEN (+0.7%),True
2026-04-26,ARR,Falling Wedge,17.6,17.05,18.84,38.5,2.15,17.73,17.38,16.72,OPEN (+0.7%),OPEN (-1.3%),LOSS (-5.0%),True
2026-04-26,BIRK,Falling Wedge,39.31,36.58,47.49,45.5,2.87,38.71,39.6,31.68,OPEN (-1.5%),OPEN (+0.7%),LOSS (-19.4%),True
