Time,Ticker,Reasons
2026-09-02 05:54:12,LRN,
2026-09-04 05:24:34,ARCO,"A1 ❌ תבנית קצרה מדי (0.0 שבועות) (+1) | A2 ❌ עומק לא ידוע (+1) | A3 ❌ מחיר מתחת ל-MA150 (+0) | A4 ❌ נר חלש (body=17%) (+0) | A5 ⚠️ נפח ממוצע ×1.2 (+1.5) | B1 ✅ RS=99.0 — טופ 10% (+8) | B2 ⚠️ סקטור לא מזוהה (Consumer Cyclical) (+3) | B3 ⚠️ סקטור נייטרלי (+2.5) | B4 ⚠️ ATR לא זמין (+2) | C1 ⚠️ Insider שגיאה (+3) | C2 ✅ מוסדיים: 55% (+5) | C3 ❌ אין Dark Pool (+1) | C4 ℹ️ Short Interest 2.8% (+1.5) | D1 ⚠️ חדשות נייטרליות (+2) | D2 ✅ Earnings Growth 99% (+7) | D3 ✅ Analyst: buy (+4) | D4 ⚠️ pytrends לא מותקן (+1) | E1 ❌ Market Regime: BEAR (-3) | E2 ✅ דוחות רחוקים (+0) | E3 ✅ נזילות תקינה (1,104,615) (+0)"
2026-09-14 07:28:03,MSGE,
2026-09-16 07:12:00,BIO,
2026-09-16 07:35:26,WHD,
2026-09-17 05:59:59,PRLB,
2026-09-18 04:46:34,NTCT,
2026-09-18 04:56:18,TSM,
2026-09-21 06:35:23,WT,
2026-09-21 06:47:50,VOYA,
